Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2005-03-31,3.1999999999999997,5.033333333333333,6937.3,10912.7,9127.4,631.0,11609.0,461230.0,8287.0,14397.0,79.6,3621.0
2005-06-30,3.5666666666666664,4.5,7394.6,11338.3,9835.3,9.0,11777.542243631271,463194.0,8295.76911110391,14449.308924529749,79.55,3661.3422497782467
2005-09-30,4.333333333333333,4.3,7407.1,11733.2,9731.9,945.0,11981.736055063382,465158.0,8415.250100450627,14353.141905005315,79.5,3695.291603422911
2005-12-31,4.033333333333333,4.766666666666667,8542.0,12595.4,10747.3,516.0,12192.855636511995,467122.0,8651.512113914752,14268.385408336022,79.45,3728.453448757441
2006-03-31,3.9,4.833333333333333,8250.1,13851.5,11297.2,619.0,12380.0,469086.0,9001.0,14352.0,79.4,3766.0
2006-06-30,3.6333333333333333,4.333333333333333,8556.3,14173.6,11636.8,270.0,12531.816641786047,470861.25,9462.444785385089,14715.585322774863,79.42500000000001,3811.523651556636
2006-09-30,2.8333333333333335,4.366666666666666,8270.1,13997.7,11303.5,938.0,12662.281022233748,472636.5,9961.709741355424,15302.266146077216,79.45,3853.6768251440953
2006-12-31,1.5333333333333332,4.766666666666667,9098.6,15302.6,12971.7,445.0,12793.336394112994,474411.75,10398.662740199696,15997.519102898019,79.475,3876.6946908618775
2007-03-31,2.1666666666666665,4.6000000000000005,9106.1,15132.1,12123.5,391.0,12945.0,476187.0,10674.0,16675.0,79.5,3866.0
2007-06-30,2.3666666666666667,3.966666666666667,9607.8,15956.2,12864.3,565.0,13135.609994442006,478090.0,10733.344055274163,17257.87134318152,79.8,3813.373302296411
2007-09-30,2.1666666666666665,3.8000000000000003,9090.0,15962.3,12908.5,818.0,13342.643350074939,479993.0,10607.49820946697,17675.547617988304,80.1,3734.5431195395654
2007-12-31,3.966666666666667,4.3,9838.1,16781.3,14015.1,687.0,13530.648767278282,481896.0,10359.579990944652,17861.184773164587,80.4,3653.6692230986514
2008-03-31,4.266666666666667,4.766666666666667,9874.7,16412.9,12800.2,1095.0,13665.0,483799.0,10058.0,17758.0,80.7,3595.0
2008-06-30,4.8,4.433333333333334,10207.8,16749.9,13504.9,432.0,13727.796588153617,486224.25,9757.536806546415,17349.374934214848,80.725,3574.735041720561
2008-09-30,5.133333333333333,4.866666666666666,9761.3,16356.7,13654.1,731.0,13748.547316133516,488649.5,9488.533675926372,16759.772722817415,80.75,3586.5257824371124
2008-12-31,2.1999999999999997,5.6000000000000005,10165.8,15093.8,12340.8,192.0,13769.291672600953,491074.75,9282.272797856338,16166.726007860816,80.775,3617.8661514427527
2009-03-31,0.16666666666666666,5.633333333333333,9364.2,13742.1,10290.8,931.0,13831.0,493500.0,9168.0,15751.0,80.8,3655.0
2009-06-30,-0.7333333333333334,4.933333333333334,9642.6,13567.7,10775.9,939.0,13964.751885847294,495641.5,9154.396848104701,15630.512076011197,80.8,3688.770485757696
2009-09-30,-0.7000000000000001,4.833333333333333,9555.0,14521.0,11396.5,631.0,14155.227963940515,497783.0,9206.526282611718,15815.855311843108,80.8,3717.4209596620344
