Date,unemployment,unemployment_lag1,unemployment_lag4,gdp_growth_lag1,gdp_growth_lag4,inflation_lag1,emigration_lag1,net_migration_lag1,exports_lag1,consumption_lag1
2005-12-31,4.766666666666667,4.3,5.133333333333333,0.1690422740919128,5.830454807138752,4.333333333333333,8415.00894664361,5938.594750028044,11733.2,11981.683578975346
2006-03-31,4.833333333333333,4.766666666666667,5.033333333333333,15.321785854112946,-5.654757857230286,4.033333333333333,8651.385147170184,5617.243393071029,12595.4,12192.828008011544
2006-06-30,4.333333333333333,4.833333333333333,4.5,-3.417232498243972,6.591901748518869,3.9,9001.0,5351.0,13851.5,12380.0
2006-09-30,4.366666666666666,4.333333333333333,4.3,3.711470163997999,0.1690422740919128,3.633333333333333,9462.50727160202,5252.958394698844,14173.6,12531.83023905105
2006-12-31,4.766666666666667,4.366666666666666,4.766666666666667,-3.3449037551277927,15.321785854112946,2.833333333333333,9961.774378794436,5340.3679913779415,13997.7,12662.295087613771
2007-03-31,4.6000000000000005,4.766666666666667,4.833333333333333,10.018016710801556,-3.417232498243972,1.5333333333333332,10398.696780469205,5598.757137835737,15302.6,12793.343801419564
2007-06-30,3.966666666666667,4.6000000000000005,4.333333333333333,0.0824302639966578,3.711470163997999,2.1666666666666665,10674.0,6001.0,15132.1,12945.0
2007-09-30,3.8,3.966666666666667,4.366666666666666,5.509493636134,-3.3449037551277927,2.3666666666666667,10733.327270317232,6524.57621481272,15956.2,13135.606341964409
2007-12-31,4.3,3.8,4.766666666666667,-5.389371135952037,10.018016710801556,2.1666666666666665,10607.4808033473,7068.1001460700445,15962.3,13342.639562429702
2008-03-31,4.766666666666667,4.3,4.6000000000000005,8.229922992299233,0.0824302639966578,3.966666666666667,10359.570762097366,7501.631683625746,16781.3,13530.64675904209
2008-06-30,4.433333333333334,4.766666666666667,3.966666666666667,0.3720230532318291,5.509493636134,4.266666666666667,10058.0,7700.0,16412.9,13665.0
2008-09-30,4.866666666666666,4.433333333333334,3.8,3.37326703596057,-5.389371135952037,4.8,9757.541292010535,7591.825052872982,16749.9,13727.797564209572
2008-12-31,5.6000000000000005,4.866666666666666,4.3,-4.374106075745998,8.229922992299233,5.133333333333333,9488.538315102352,7271.225524036912,16356.7,13748.548325637828
2009-03-31,5.633333333333333,5.6000000000000005,4.766666666666667,4.1439152571891125,0.3720230532318291,2.2,9282.275240322708,6884.446090396041,15093.8,13769.292204091964
