STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2010,,3760,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2011,,3819,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2012,,3876,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2013,,3822,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2014,,3841,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2015,,3983,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2016,,3967,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2017,,4263,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2018,,4318,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2019,,4283,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2020,,4609,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2021,,4489,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2022,,4449,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2023,,4431,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2024,,4471,,,,,
